sweep_value,run,error_1,error_2,error_3
10,1,0.19892706533902207,0.05393905678765477,0.07549140655290637
10,2,0.21265861678511902,0.037117411710016486,0.08750431913852862
10,3,0.2674633890968976,0.050042479011200576,0.11382705667900325
10,4,0.23130902356020286,0.045518189957827665,0.09165826979423973
10,5,0.27575716689925484,0.04771941238650169,0.11313969160302341
10,6,0.24742570728851576,0.050800688691121275,0.10439155375702408
10,7,0.18878329248108838,0.03939032640573868,0.08085868648897197
10,8,0.39346759866739867,0.03980622382759648,0.14987273470916604
10,9,0.3073038323709685,0.03518489017950088,0.11948215366019585
10,10,0.21005173733096177,0.05565937128166147,0.09836423555926016
10,11,0.2131991027371989,0.034845345886861126,0.07828997842156975
10,12,0.18166699150699162,0.06113148411242533,0.08869799025307501
10,13,0.19823334782352448,0.039413468019861765,0.07368388703420722
10,14,0.2080186439715654,0.047070437653693516,0.07846490770615347
10,15,0.29491899210652406,0.03467764060712035,0.11187409376482577
10,16,0.10675063318181702,0.05532471593696657,0.061569349446010384
10,17,0.29939699175871354,0.04743446203694533,0.11089024271357041
10,18,0.24998486928867678,0.04686025445252291,0.10102314964163321
10,19,0.15608252526784766,0.044705805882656414,0.07300833488983026
10,20,0.19354217489977452,0.0409354724261292,0.07261771619567792
10,21,0.23409344384150343,0.06811872586794535,0.10932941956245483
10,22,0.25924305157777533,0.04456823423867685,0.11374267069249011
10,23,0.16257181888502795,0.04202255704897671,0.07631768139637003
10,24,0.19455900085414476,0.04602751761572018,0.0776043500055307
10,25,0.21907655819996372,0.034252204089095246,0.09061247494561703
10,26,0.14067431739149633,0.037216399739823686,0.05840460346716537
10,27,0.24528230085786656,0.048708838300085544,0.10669986804427523
10,28,0.19058604035297794,0.04105832203190245,0.07762559967289538
10,29,0.2570353372010685,0.043868716772354634,0.1138487723978807
10,30,0.23652683491355714,0.05686069621663661,0.08408302646388476
11,1,0.2563174732259449,0.044775869687018355,0.10287773293182832
11,2,0.22301996971835683,0.04524175381578117,0.10045453825126618
11,3,0.20657121751502128,0.03423780850664422,0.07692187899518144
11,4,0.20299508171453723,0.03845181445227245,0.07924044942881826
11,5,0.2626734104075216,0.042307487472530055,0.10312285136075713
11,6,0.2271761423968718,0.04084356872198138,0.09807208836727141
11,7,0.1401094800230949,0.05827677544505974,0.07089109254498918
11,8,0.25608665580050205,0.03079394464323919,0.0906308606153476
11,9,0.18937446799731544,0.05430156402565112,0.09111783077285215
11,10,0.16354598193720368,0.07253707072010168,0.07894787903806597
11,11,0.19121515923698615,0.0425897992887734,0.07651169528187676
11,12,0.2349376593273284,0.04875265677940071,0.09914167404682307
11,13,0.3390936212847844,0.039176407895943496,0.12004834908728257
11,14,0.271624580340139,0.04404201450878607,0.11167549519704731
11,15,0.15566401881188605,0.0521083003311356,0.07438852159655684
11,16,0.17985438057364786,0.030413508386205934,0.0706785607803478
11,17,0.28800851658945226,0.03687461547767955,0.10578905503958813
11,18,0.2852811693829696,0.03482930880312555,0.10619069609902701
11,19,0.25135046624580343,0.05262990390805077,0.10717393291769181
11,20,0.2861869355932557,0.057566021947378504,0.09822868226931232
11,21,0.33239835211794366,0.05087231226578139,0.12848814687412338
11,22,0.3040901605422328,0.04799827129267656,0.11909951422106729
11,23,0.1908540650906737,0.048103603937917135,0.08087534463346181
11,24,0.22942266721117696,0.043221241301720614,0.09800889389616411
11,25,0.2562730308808696,0.03822847541005847,0.10198371507412328
11,26,0.1812106851481376,0.045152710929916476,0.07927637237704445
11,27,0.25137968262458643,0.04405010949277212,0.10679240691657035
11,28,0.23969681199091084,0.04553856315104769,0.0974575546492117
11,29,0.1977476281798463,0.062297788396353006,0.10098148407619159
11,30,0.18029011992015934,0.06711869941948129,0.07883287917592464
12,1,0.2601424901432117,0.0457852491433538,0.10133199932555602
12,2,0.22899274908091816,0.060607997550219506,0.10499434231199965
12,3,0.2202320219192268,0.04015700862398786,0.10773469701468291
12,4,0.39087061284284585,0.03732355546312735,0.14682243606509068
12,5,0.2885939345148737,0.039806335706543766,0.11835161543210702
12,6,0.214714956974784,0.05709411484828546,0.08525169775390672
12,7,0.2374860588247885,0.05604910091119974,0.10801459633896299
12,8,0.213583194813168,0.04406553338730537,0.09166128092347886
12,9,0.29098155631642947,0.04885839899614497,0.11446249641714686
12,10,0.31685582705289767,0.03794325608059264,0.13006339142927378
12,11,0.22691794458874323,0.05717685167801313,0.09379142418734869
12,12,0.29472565671165174,0.05241261246466909,0.13088786158288535
12,13,0.27020819162489407,0.05932181572421777,0.13158623751114368
12,14,0.21273534010694214,0.055639147182684534,0.08015816426608735
12,15,0.25619265570874716,0.03234988433035724,0.10136782284320081
12,16,0.22059709943241407,0.03690202877453452,0.08321819018342674
12,17,0.22611974279287572,0.05438143547459713,0.09551954673287645
12,18,0.1792594248153419,0.03875465631559284,0.07138170742518174
12,19,0.2850783835948521,0.04303038188837816,0.12332844741052114
12,20,0.3700380460611809,0.04466370744052264,0.13849697139678874
12,21,0.3134099499816186,0.05670564371012572,0.13251519328217184
12,22,0.24996408171010726,0.04932313521374802,0.10081083860546322
12,23,0.281235261899308,0.04274775523475666,0.11372373573760303
12,24,0.23335413975603625,0.05491359298525792,0.10356970899040512
12,25,0.34511358144220333,0.050797366684975455,0.14823070688325443
12,26,0.3375042052898725,0.052920966093712586,0.13800837050535789
12,27,0.21453372386822794,0.047811296257501766,0.08813060945184222
12,28,0.23523254798467336,0.055686679364927646,0.10285992232828622
12,29,0.18512280239247741,0.055380502737801866,0.08047409135421524
12,30,0.24767349327912602,0.05208238948472219,0.10966435624375373
13,1,0.28835660332457125,0.05016406500112912,0.12680999884542554
13,2,0.3488888945314912,0.043994665561814604,0.16344692349797232
13,3,0.26334507265628126,0.05966893230512705,0.10882466749211334
13,4,0.20642081821147287,0.04557145285413638,0.09466610224516389
13,5,0.22023324676490022,0.053673540244886984,0.08348167088286393
13,6,0.23087194924758714,0.060330522096060796,0.11236608143588186
13,7,0.3057356255640671,0.04671032201938822,0.13346479253304208
13,8,0.2556915831310661,0.05982916799213206,0.11885313565978553
13,9,0.2267811870423966,0.052598243921183695,0.10945505609582876
13,10,0.2304111619362766,0.04662848760303196,0.09397007863800383
13,11,0.25391659484391826,0.044434013424368084,0.10513489882204283
13,12,0.2544868624162581,0.05453035955453185,0.1091675109900185
13,13,0.2154431260913592,0.04988696900027491,0.08338545253296459
13,14,0.21145382532791424,0.036761638640486115,0.09603259411171242
13,15,0.373782071227253,0.06901860136149433,0.17647405287456389
13,16,0.20914911820755197,0.04638036787674688,0.0848832781398369
13,17,0.23665547170271492,0.054309972114006635,0.11096851218106527
13,18,0.25431679156869486,0.0452773642259066,0.12076069109323734
13,19,0.22670446718713733,0.07406139899108366,0.10749536324391139
13,20,0.2345163855116671,0.041021444675450366,0.10448328351311931
13,21,0.20186019092735516,0.05524862851620276,0.09736146540385446
13,22,0.29095272839962055,0.04869738509356018,0.12859689137883765
13,23,0.33502204862052826,0.04731192124073296,0.14183777218850918
13,24,0.27285172468050434,0.06820898022767649,0.10881529173396448
13,25,0.34915129567480374,0.03883363762793551,0.146890866248541
13,26,0.2656067727111627,0.04786299820443741,0.13158529258944873
13,27,0.28197370720177,0.05913299795236703,0.13089062050532096
13,28,0.3324364326215743,0.0521680178885716,0.1507580097840745
13,29,0.3091890748232824,0.06188799305251667,0.13597814149099763
13,30,0.32852594069340013,0.039527276282695846,0.13280154934172242
14,1,0.27845529739534114,0.07091305802502881,0.13979278175553114
