sweep_value,run,error_1,error_2,error_3
10000,1,0.5096566184619572,0.10504213117751596,0.1908717418442077
10000,2,0.6257943708428502,0.1705858368835027,0.22427576753187994
10000,3,0.4485616175636103,0.12832482221329317,0.1895053624352497
10000,4,0.5618491218583853,0.1226288863724285,0.22171763889551208
10000,5,0.589446355589361,0.13703587969352082,0.22756266494309943
10000,6,0.33083641758658777,0.16721935192132142,0.18090836922113415
10000,7,0.5002819577945085,0.1321610698082467,0.17563180590394786
10000,8,0.4114601081248322,0.12206658921318123,0.17273536551018692
10000,9,0.4739865953725109,0.12310853640601749,0.19520416223136042
10000,10,0.35504816441003256,0.15829004352885526,0.16838419108321756
10000,11,0.469552246501297,0.1255059458484595,0.15368260555669738
10000,12,0.38040245047493937,0.1548371392197827,0.19788201289510632
10000,13,0.41268832909560943,0.13338409364971096,0.1319817009334468
10000,14,0.4913918577876954,0.14681357276377272,0.1560575831804368
10000,15,0.4099880034534527,0.14571708683972248,0.1504531752115991
10000,16,0.384646649553346,0.11133539818497855,0.1666818819047756
10000,17,0.39442062017773105,0.17154105624842825,0.18156801880581755
10000,18,0.6379775047445959,0.1367532830729838,0.2068658743505751
10000,19,0.345556851032477,0.14605991678706318,0.18172044267216791
10000,20,0.3984714435923323,0.11020440287231699,0.14296877862004528
10000,21,0.48144845231774025,0.12095244587824718,0.1642588892293842
10000,22,0.5275019639430811,0.12350666050269853,0.1834423616035659
10000,23,0.3789896527906557,0.13675050075949968,0.1716625730197759
10000,24,0.5240154310615888,0.12200502359095396,0.2224341239955786
10000,25,0.3725710338493359,0.11346020319164014,0.14242950051412354
10000,26,0.4478097121173436,0.10435354837465095,0.16915612859344054
10000,27,0.32857639557941654,0.15742818459786734,0.13300992603264244
10000,28,0.4098607325339264,0.12050115486336595,0.15858584193167696
10000,29,0.3579125864925673,0.12086052875628732,0.15522112145027986
10000,30,0.46278209727801106,0.13790171681084704,0.16732895215679058
10476,1,0.3282328275398103,0.1500772498221445,0.1854135762887408
10476,2,0.4351856497434439,0.14008481024176508,0.17690672108548905
10476,3,0.45537028320823747,0.10665192741396257,0.14941506862725176
10476,4,0.40125364599032437,0.12284022736311469,0.17535207664072325
10476,5,0.5412203243524635,0.1283659504384644,0.21021554297637948
10476,6,0.3917528716488075,0.11853884423495535,0.12495728072303923
10476,7,0.40268222800078063,0.16497567431391277,0.19845812244597608
10476,8,0.5608844329298905,0.1146486762949066,0.15062931572265478
10476,9,0.49856664964565617,0.12529708886275176,0.19597918339199777
10476,10,0.4446438765368044,0.12532068671625013,0.19761149235926911
10476,11,0.4157513209872972,0.1323612017541831,0.13506986390090597
10476,12,0.3810016781558205,0.12967553077273392,0.17725514194750333
10476,13,0.44829719305400645,0.13672256288373363,0.17146319108130886
10476,14,0.372401388571788,0.12591949328538296,0.13366372068338467
10476,15,0.3166177193173485,0.11586867879275045,0.12420508832917887
10476,16,0.3612495176643895,0.1162770784737256,0.12631276783518625
10476,17,0.4923513919644843,0.12303820196795304,0.20601846519872197
10476,18,0.39264839992717276,0.11903327977454442,0.1530507636820519
10476,19,0.3410469864740359,0.1550800652306951,0.16506383082462445
10476,20,0.40110287691785823,0.1511453041499047,0.189923188670842
10476,21,0.3567650064386266,0.12964930912354272,0.14019780686824684
10476,22,0.34212886957645655,0.13256801686002048,0.17092106328196682
10476,23,0.4059485382793866,0.17003288799687663,0.21378736382489438
10476,24,0.4629514120423899,0.12414639532704512,0.20176835251248298
10476,25,0.36761770268417354,0.12183914591247898,0.1602467572693145
10476,26,0.315211394436087,0.1218331434399969,0.14922720970764747
10476,27,0.40929049535354933,0.12751049697220537,0.13768854172180936
