sweep_value,run,error_1,error_2
1,1,0.9759077220895194,0.11213286790727728
1,2,0.9759360676044099,0.11967271358909279
1,3,0.9761637181233545,0.08626248367729063
1,4,0.9749288087395112,0.07468391724795594
1,5,0.9745896832644343,0.07558755617260937
1,6,0.9756510329122734,0.06888397990076627
1,7,0.976018141315413,0.1082912365017822
1,8,0.9752718327062421,0.07354424155445598
1,9,0.9755456530741469,0.08399844123444854
1,10,0.97665440689676,0.16008724287645928
1,11,0.9757838241305149,0.09073075172234193
1,12,0.9755282224641948,0.0730116521866746
1,13,0.9743677640933179,0.06708307854339235
1,14,0.9761373412601744,0.08917832097598863
1,15,0.9749507522533496,0.07180537119468766
1,16,0.975918851350937,0.09645823295651659
1,17,0.9744868508631652,0.07309259373666199
1,18,0.9771808282817811,0.1585162316072034
1,19,0.9751913610548805,0.08281279878966702
1,20,0.9754755969287464,0.07441392233058058
1,21,0.9750558610963622,0.07542872398824545
1,22,0.9749850361174901,0.07526220400450269
1,23,0.9760101262851789,0.1046497151869526
1,24,0.9753566947828222,0.09201557491542982
1,25,0.976151117348673,0.09487391984032982
1,26,0.9752753613039221,0.07338231364297629
1,27,0.9761678755802633,0.12423629382431954
1,28,0.9751910957615071,0.08214040097956013
1,29,0.9765558262004306,0.11209037069448508
1,30,0.9744880255035064,0.07132464004563399
2,1,0.7650523777262725,0.13047981809612638
2,2,0.8017968551721724,0.10781420357069632
2,3,0.7725132015758719,0.11845701525609814
2,4,0.6864102230529969,0.09509508190013578
2,5,0.6897835062235708,0.1260050085498829
2,6,0.7867450147772519,0.14440371722925627
2,7,0.7170971335011663,0.18680981018709683
2,8,0.7208263814350417,0.10913049721185393
2,9,0.6856166631889048,0.08612340197820596
2,10,0.8636837584750535,0.18480887221255182
2,11,0.7508422122686768,0.07732031669690508
2,12,0.9021226772646505,0.08958170794640344
2,13,0.8507925666092112,0.14693615569807486
2,14,0.828852894475935,0.1243174780795275
2,15,0.6981687308261829,0.07177279050916685
2,16,0.6967575774364066,0.16961197471910128
2,17,0.791620255990667,0.17708569459067752
2,18,0.7629138407601697,0.08960739970551734
2,19,0.9665986946578421,0.08426276510053614
2,20,0.6973953802417846,0.1458643391972446
2,21,0.9193213839873238,0.19148745846972803
2,22,0.7479451735164898,0.09228707609007686
2,23,0.8152311076329742,0.1464136238950735
2,24,0.7228955636944887,0.1265178760678944
2,25,0.6951434767842994,0.16432334839152782
2,26,0.6960359647902993,0.11635538970141475
2,27,0.7848869527779228,0.22686325377246658
2,28,0.7444758395194009,0.06378974897373849
2,29,0.7021865360469819,0.11476237964419925
2,30,0.7612954278954769,0.12037842506504363
3,1,0.8675788494626521,0.11765246743887867
3,2,0.6563928923323991,0.13109320479667283
3,3,0.6098493338364688,0.1723863586457668
3,4,0.5718140896408066,0.15855644319930098
3,5,0.7445644625936916,0.09773129083141743
3,6,0.5597187883183439,0.14784305258666788
3,7,0.6738272118728412,0.15366515587424515
3,8,0.7199862326933103,0.08629808620672941
3,9,0.6306285273919233,0.12261622282646685
3,10,0.6048814864355734,0.20748456910920682
3,11,0.6738662542095646,0.17039417480565847
3,12,0.5659372707727276,0.18898083955939296
3,13,0.7109937054933458,0.13630666985191522
3,14,0.6640706420281092,0.12473770810219603
3,15,0.6421384986855825,0.13915656302518395
3,16,0.6049869159208632,0.1347708504116569
3,17,0.5692948782409593,0.2016093291717464
3,18,0.5942477577296192,0.20464927480396075
3,19,0.7690452108096675,0.10604602304581803
