sweep_value,run,error_1,error_2
10000,1,0.5096566184619572,0.10504213117751596
10000,2,0.6257943708428502,0.1705858368835027
10000,3,0.4485616175636103,0.12832482221329317
10000,4,0.5618491218583853,0.1226288863724285
10000,5,0.589446355589361,0.13703587969352082
10000,6,0.33083641758658777,0.16721935192132142
10000,7,0.5002819577945085,0.1321610698082467
10000,8,0.4114601081248322,0.12206658921318123
10000,9,0.4739865953725109,0.12310853640601749
10000,10,0.35504816441003256,0.15829004352885526
10000,11,0.469552246501297,0.1255059458484595
10000,12,0.38040245047493937,0.1548371392197827
10000,13,0.41268832909560943,0.13338409364971096
10000,14,0.4913918577876954,0.14681357276377272
10000,15,0.4099880034534527,0.14571708683972248
10000,16,0.384646649553346,0.11133539818497855
10000,17,0.39442062017773105,0.17154105624842825
10000,18,0.6379775047445959,0.1367532830729838
10000,19,0.345556851032477,0.14605991678706318
10000,20,0.3984714435923323,0.11020440287231699
10000,21,0.48144845231774025,0.12095244587824718
10000,22,0.5275019639430811,0.12350666050269853
10000,23,0.3789896527906557,0.13675050075949968
10000,24,0.5240154310615888,0.12200502359095396
10000,25,0.3725710338493359,0.11346020319164014
10000,26,0.4478097121173436,0.10435354837465095
10000,27,0.32857639557941654,0.15742818459786734
10000,28,0.4098607325339264,0.12050115486336595
10000,29,0.3579125864925673,0.12086052875628732
10000,30,0.46278209727801106,0.13790171681084704
10476,1,0.3282328275398103,0.1500772498221445
10476,2,0.4351856497434439,0.14008481024176508
10476,3,0.45537028320823747,0.10665192741396257
10476,4,0.40125364599032437,0.12284022736311469
10476,5,0.5412203243524635,0.1283659504384644
10476,6,0.3917528716488075,0.11853884423495535
10476,7,0.40268222800078063,0.16497567431391277
10476,8,0.5608844329298905,0.1146486762949066
10476,9,0.49856664964565617,0.12529708886275176
10476,10,0.4446438765368044,0.12532068671625013
10476,11,0.4157513209872972,0.1323612017541831
10476,12,0.3810016781558205,0.12967553077273392
10476,13,0.44829719305400645,0.13672256288373363
10476,14,0.372401388571788,0.12591949328538296
10476,15,0.3166177193173485,0.11586867879275045
10476,16,0.3612495176643895,0.1162770784737256
10476,17,0.4923513919644843,0.12303820196795304
10476,18,0.39264839992717276,0.11903327977454442
10476,19,0.3410469864740359,0.1550800652306951
10476,20,0.40110287691785823,0.1511453041499047
10476,21,0.3567650064386266,0.12964930912354272
10476,22,0.34212886957645655,0.13256801686002048
10476,23,0.4059485382793866,0.17003288799687663
10476,24,0.4629514120423899,0.12414639532704512
10476,25,0.36761770268417354,0.12183914591247898
10476,26,0.315211394436087,0.1218331434399969
10476,27,0.40929049535354933,0.12751049697220537
10476,28,0.32046114275715676,0.1138843166046271
10476,29,0.3734326363858078,0.12242227184064161
10476,30,0.3891816326233408,0.1389694829102039
10974,1,0.3609359916235872,0.11589582364271155
10974,2,0.7300927380189722,0.115024377817972
10974,3,0.5550445054373276,0.12601277352134543
10974,4,0.5658809025028835,0.12636412512937928
10974,5,0.35667356136330114,0.10546381500867183
10974,6,0.3968401921432124,0.147851147720601
10974,7,0.536110788037232,0.10690659753643889
10974,8,0.4727894674081331,0.11272957712624715
10974,9,0.49746586685856287,0.18184355010534778
10974,10,0.646968246394397,0.13649854050913576
10974,11,0.3873745988253154,0.11985022817164608
10974,12,0.45589022512446503,0.10332477216617163
10974,13,0.6041419931179223,0.14943773000930496
10974,14,0.47722802069377823,0.12103814209346546
10974,15,0.4066944806505447,0.12212429304550163
10974,16,0.4807804063375852,0.1031136239784393
10974,17,0.3363860637546707,0.1673747513105069
10974,18,0.4126970448578181,0.18175150303434662
10974,19,0.32951170946107894,0.1608595047645136
10974,20,0.4709898606565748,0.11499519246538728
10974,21,0.4455194273412522,0.12155136361082346
10974,22,0.46339486076821,0.15006337145726587
10974,23,0.5630597197332883,0.11263376386442799
10974,24,0.3492934041402467,0.12759677897167682
10974,25,0.35366354845386283,0.10436794211437812
10974,26,0.45747469333608465,0.10210653245645389
10974,27,0.4600438676249768,0.1072296437434933
10974,28,0.42399755193907257,0.12724239036583468
10974,29,0.589798894465696,0.11117639011852905
10974,30,0.4192128860534042,0.14281943902344882
11497,1,0.36526503537762095,0.10755285278383701
11497,2,0.3757970710537874,0.1398071500911255
11497,3,0.37539278130562725,0.12894985548302126
11497,4,0.37501612439935583,0.10393356541907345
11497,5,0.39464378156838564,0.1435403733702043
11497,6,0.5057280182580493,0.13164964670381488
11497,7,0.5059675201791989,0.11131166194836473
11497,8,0.35348840707735496,0.1287651355087078
11497,9,0.43861054079568407,0.13969356411697348
11497,10,0.3796771492242798,0.13825508501474373
11497,11,0.43591598821444777,0.1799900710097222
11497,12,0.3079425977579871,0.11619720926332801
11497,13,0.32681292567409503,0.11863955639537684
11497,14,0.38194247366211825,0.15823094154705095
11497,15,0.5045610122726414,0.14637426911153986
11497,16,0.33508390526209375,0.12446042954863813
11497,17,0.40362239354454277,0.12343427587249092
11497,18,0.4315183525413799,0.11821112640735162
11497,19,0.38051452573252204,0.14466656477269282
11497,20,0.38425468749694,0.13110068102866115
11497,21,0.38303651542322437,0.15392279330319178
11497,22,0.34056362106668686,0.13191848805738526
11497,23,0.4940936935294622,0.13201096731331796
11497,24,0.4802964515517957,0.1296646660478993
11497,25,0.47013990769393643,0.10655156088446889
11497,26,0.5777492806910154,0.10839885499078322
11497,27,0.38300320427233153,0.140176266893002
11497,28,0.36117483249064253,0.1333331930638389
11497,29,0.5635109893517308,0.12995415713992178
11497,30,0.3288594620846962,0.18975252318029465
12045,1,0.5032623335855642,0.0995907411595181
12045,2,0.5531450932351009,0.12064454917484159
12045,3,0.34873831444276143,0.14200304853313248
12045,4,0.3987087749718592,0.13932127513474685
12045,5,0.6014363293355411,0.12834157725057177
12045,6,0.3459635904851076,0.15075770600594482
12045,7,0.36468579511321525,0.16426918206298313
12045,8,0.44016217010223724,0.11599414012337325
12045,9,0.3663893123002093,0.11217801597144235
12045,10,0.3694801078842134,0.160089029739579
12045,11,0.5909813359487481,0.1376647391969748
12045,12,0.3583879105362073,0.11185000762975693
12045,13,0.4138251472918636,0.12639102086123044
12045,14,0.3970554938051284,0.12032499227738126
12045,15,0.5381278959064366,0.1197519443999219
12045,16,0.4417315060074122,0.0982915578516061
12045,17,0.39647431132001776,0.10825911339509914
12045,18,0.509505484061087,0.09379599673824969
12045,19,0.4435594202589553,0.11804867250879819
12045,20,0.44786183801655904,0.134851162331128
12045,21,0.5322797311509675,0.1513665817285876
12045,22,0.47704367941823805,0.10430990438682707
12045,23,0.5658024784785096,0.12505467455891772
12045,24,0.33157881918056104,0.11747657903754044
12045,25,0.5045861945943745,0.12032743125862941
12045,26,0.3829455900738486,0.106959364113842
12045,27,0.4850003889549802,0.14135282516573533
12045,28,0.47217583052183565,0.11108308450160809
12045,29,0.5942741279384378,0.1071610868525832
12045,30,0.45076572102550694,0.0954612596164373
12618,1,0.38459125253638726,0.13141427239370218
12618,2,0.46337534909148975,0.09238879776337135
12618,3,0.5100219908384389,0.11593083608004892
12618,4,0.47196468025528165,0.11429432946600637
12618,5,0.4215092039878766,0.15076521829223802
12618,6,0.43833181099944013,0.09826101120047177
12618,7,0.6482133218170619,0.10818676178127874
12618,8,0.4207836399882059,0.13825638317471423
12618,9,0.38454285856438997,0.13926375372703176
12618,10,0.6364048454797377,0.1393404801403299
12618,11,0.4713522748645026,0.13098775021812303
12618,12,0.4001771537611199,0.09942433369233387
12618,13,0.5201545491833376,0.12855616819187432
12618,14,0.4512142028466665,0.1341820781949561
12618,15,0.3862051580753606,0.11381293398799022
12618,16,0.38454030504990144,0.10451025235905845
12618,17,0.6252673163126286,0.10740678187307386
12618,18,0.5534748956888034,0.12539419861375864
12618,19,0.36571251465937243,0.1343167708530253
12618,20,0.4977858792871679,0.12697242971725248
12618,21,0.4577746074266162,0.14869700542194075
12618,22,0.4571986572002545,0.1330811161030048
12618,23,0.3734626616992037,0.11423185439536661
12618,24,0.5603871039418219,0.12629177748794165
12618,25,0.744274913361621,0.1134177115350935
12618,26,0.3862014995575462,0.09901862551776058
12618,27,0.421677533278334,0.10829652387847892
12618,28,0.3405152002937617,0.09557188693280223
12618,29,0.4192851345422457,0.11588830259386232
12618,30,0.34923848533947716,0.09725182588729402
13219,1,0.37809187908486586,0.14026985167908249
13219,2,0.4139114986410762,0.11374896870769707
