sweep_value,run,error_1,error_2,error_3,error_4
10,1,0.03764236558249492,0.042927150090724814,0.07334864193324703,0.13678205200368332
10,2,0.04044064335561811,0.057634057746131034,0.11571759949851987,0.21735412729586567
10,3,0.03630936001480932,0.0393311759859103,0.05595385489025106,0.09473309199983428
10,4,0.0415617636635637,0.05156784240769261,0.08781543660345166,0.15563260536923249
10,5,0.03861332967386819,0.05053204814493443,0.09186670721030245,0.167644913342495
10,6,0.03832366645285273,0.047336901904949616,0.08402539663752508,0.1531992598642426
10,7,0.04231488127455699,0.058177452066248185,0.11625820660979165,0.22061557776894902
10,8,0.03927826781044961,0.05798554089438538,0.11945798126702177,0.2271756112625174
10,9,0.03884353224272633,0.04636252819371537,0.08194563935171884,0.15230563590999746
10,10,0.04228679103595073,0.05506472842641237,0.10319959787687587,0.19143568716230366
10,11,0.037419552611443176,0.043909303075269336,0.06788157427241062,0.11542710523426644
10,12,0.04132353643364765,0.04646258989373569,0.0677251593008328,0.11263694154970166
10,13,0.038670678368897024,0.046654615129922174,0.08695727809970161,0.16577565385729892
10,14,0.038639728562214586,0.044383613793462486,0.07476791074644913,0.13828514394032873
10,15,0.03955627440199695,0.04872000993445836,0.09447130445657066,0.18298766695900906
10,16,0.037982515535629535,0.04484016428725873,0.07373319926409626,0.13117124372670008
10,17,0.03841242563040019,0.045296438308383764,0.07385470622127717,0.1307998689585962
10,18,0.036223899931396714,0.043490919183135135,0.07372330400125562,0.13291159887479584
10,19,0.03584284867974522,0.039866672364506674,0.06595414719175718,0.12243826771750295
10,20,0.036501372779198626,0.04250552026699751,0.07305439197810386,0.13524711200863734
10,21,0.03831281039637562,0.0485122289522192,0.09236834717325994,0.1751759920597404
10,22,0.038653271329726,0.04847086330883018,0.09080215728601164,0.17112231215429763
10,23,0.03994227587909716,0.05199039063236495,0.09478127481211855,0.17308967961691404
10,24,0.04040998432255233,0.05403607131209126,0.10475465761057548,0.19757053827041135
10,25,0.0416307504247251,0.05038677203762954,0.08520300177168526,0.15260691989558545
10,26,0.037471155294987464,0.0513853176686817,0.10490968823773218,0.20127863333548085
10,27,0.0399868057837021,0.05329685404529772,0.10679239065011005,0.204774550910339
10,28,0.041644632928358585,0.05281398276973623,0.09130009193385889,0.16253931078548564
10,29,0.03975542257097823,0.0461590563488868,0.08852660978662504,0.17401961485741377
10,30,0.038779150458415824,0.043735949373168714,0.06795989400882857,0.11946586884803512
11,1,0.03795105619806668,0.047004799262099016,0.08600318230283362,0.16231398934341032
11,2,0.03723981663017145,0.048317800528587716,0.09923273146221806,0.19496729778882585
11,3,0.04233880068101766,0.056058194408935315,0.10306884699662723,0.18631618989513865
11,4,0.03605887792878162,0.04554215934210821,0.09224015336274692,0.17857963364739854
11,5,0.044691555190349945,0.0523945714331514,0.08077816897617597,0.13497398311594722
11,6,0.04192043997078464,0.05383689460208634,0.09340008071135686,0.1643561041616018
11,7,0.03948842739968159,0.04191279349790116,0.07167816390610786,0.1363343582615711
11,8,0.036929752905843403,0.04320056684752802,0.07162705161656892,0.12829693850167107
11,9,0.037513851397065104,0.04601664730401204,0.08301134989086974,0.1541433434724978
11,10,0.042303391504892505,0.04621899750785247,0.06974575978943601,0.1232100021417767
11,11,0.04139719403614929,0.05144152528535488,0.09478829963077597,0.17490603784693773
11,12,0.03674289750394121,0.04204463465344472,0.08008774478064223,0.15641021925102852
11,13,0.043168833363295064,0.0585067893349337,0.11434264837365445,0.21439843497275937
11,14,0.04282320016529036,0.05402154114995514,0.09852191959031273,0.18106790455139668
11,15,0.039501937954216276,0.04568764817504649,0.07324250441414035,0.12984574270617946
11,16,0.039001868366494746,0.051596085228697096,0.1017896892354834,0.1931255947032807
11,17,0.03962152320191445,0.05061169632178281,0.09404433647850109,0.17500631637499092
11,18,0.040210261281702686,0.04755547005786511,0.08693688693666943,0.1660397337258978
11,19,0.03723232035762434,0.04405684823488099,0.08334003988376433,0.16161692419993248
11,20,0.03766037296421477,0.042029588827643606,0.07416279305156784,0.14125819020368705
11,21,0.03757311001725294,0.04423556156491812,0.07680654338954597,0.14073749606158523
11,22,0.03981350745783645,0.048798024947953274,0.08998322146860895,0.16787935172482388
11,23,0.03688371820425251,0.045216612775557996,0.08497807002584068,0.16340625541965048
11,24,0.04117702928282532,0.05049460951760692,0.0916641514299508,0.16882717138639886
11,25,0.037552979724065835,0.041358901591356606,0.06685406511482744,0.12129912242627938
11,26,0.040249362340259914,0.05401751334311809,0.10996784781610561,0.21059504901203505
11,27,0.04209959874035682,0.05094885519233797,0.08187734376023556,0.14084761910832483
11,28,0.04116667916416568,0.05339772230040375,0.09406729355408908,0.16776226846038794
11,29,0.03655482102288688,0.04241581858236351,0.07346199062504988,0.13496883845687055
11,30,0.038436952348473295,0.04431676957277699,0.07723975842672842,0.14330085475241336
12,1,0.03826178128925662,0.047727236875870965,0.09894268764960948,0.19495515241446051
12,2,0.03915380860426209,0.042859011059864026,0.06934241818230054,0.12832416637396196
12,3,0.04027494172137535,0.046314630563342375,0.07437069779883564,0.13109545054341906
12,4,0.03906170852415912,0.04796024500127394,0.0849851961721291,0.1565890604173963
12,5,0.039640796234961195,0.047833594584076426,0.08596686310639036,0.15928205078082314
12,6,0.04376435966484624,0.06764023075876278,0.13819144266831995,0.2583292030936508
12,7,0.03769732138064828,0.03996715090739799,0.06193511141976756,0.1136633519952443
12,8,0.04190094396310404,0.060720712996021345,0.12672288443083257,0.24211354721195097
12,9,0.04056620303184226,0.04331204730798977,0.08756565103517513,0.1786695453575465
12,10,0.036633287382423496,0.04305355341360156,0.07715899619900546,0.14317870037604238
