sweep_value,run,error_1,error_2,error_3
10000,1,0.08994116668801634,0.2517956494003421,0.48545925977843185
10000,2,0.14826996739518344,0.3039262260185522,0.5950158966335041
10000,3,0.11264388293171022,0.23180299598191334,0.4278063184259042
10000,4,0.1182225169990312,0.29208686000701545,0.5364653226063459
10000,5,0.1279417765376957,0.30150866527741277,0.5622427038037182
10000,6,0.15246116133997561,0.19357885994467341,0.31648281633426256
10000,7,0.11264147719090625,0.23042543387535103,0.4744143843495195
10000,8,0.10380773253335544,0.214247076658375,0.39261726098066746
10000,9,0.1272254300980421,0.2447795323853701,0.4519505148626439
10000,10,0.1369561442615958,0.18053596299259328,0.3372458582728182
10000,11,0.0801907343560125,0.20748469150141738,0.44477078508652423
10000,12,0.14872224140949844,0.22519337884808768,0.365049521851747
10000,13,0.0760816437387042,0.1730698865619844,0.38995568012551807
10000,14,0.1074954507174722,0.21367111796907368,0.46486863271237655
10000,15,0.13491604379034758,0.17729553024385913,0.38692005972530874
10000,16,0.11635765883909462,0.19947898493437943,0.3665568300710097
10000,17,0.14516333837383938,0.2026881678122061,0.3750999356983468
10000,18,0.13591602441307446,0.29720184835899727,0.6055474152461033
10000,19,0.12973633224657402,0.20458239546923085,0.33170643198967975
10000,20,0.12466498335210305,0.16954836834855175,0.37593442053788667
10000,21,0.09898157438241474,0.22118376599503883,0.4567256797789158
10000,22,0.08570062920781547,0.25168820467237246,0.5015914681419105
10000,23,0.1534740303862339,0.19330735003897762,0.35991038962054
10000,24,0.12763987536943328,0.28113033911749985,0.5010660492938986
10000,25,0.07819912290260427,0.17203256704192485,0.3533488778659865
10000,26,0.08346654050370683,0.22252445092394774,0.42660592802768005
10000,27,0.14787581753593645,0.12998982988959215,0.30793778956785833
10000,28,0.10009515476499832,0.19915759963006377,0.3896189909568349
10000,29,0.11216727555036564,0.18335102530128214,0.34074671238271736
10000,30,0.11443530380374024,0.21255431947416178,0.43868530784524407
10476,1,0.13396493151783542,0.2043565478331614,0.31636851577340913
10476,2,0.11873857369488999,0.21667575271029432,0.41457543229622157
10476,3,0.0877563515786499,0.20428489972686753,0.43215802584488905
10476,4,0.15474542611187883,0.20868302492447557,0.382199388450591
10476,5,0.10829120486451495,0.2800053685180915,0.517357499543626
10476,6,0.10068469838103317,0.1607269944486054,0.3700543509259454
10476,7,0.15405174886720605,0.22190495156512277,0.3849829668766174
10476,8,0.09933126056489093,0.22663820626741507,0.5302141123712291
10476,9,0.13698856380521612,0.2505066429070502,0.4752246572846123
10476,10,0.12560300007177003,0.2424670721547324,0.42576378669362935
10476,11,0.1241818554168535,0.16778248435119006,0.3921654149728498
10476,12,0.13135730435910292,0.2012517189315156,0.3635989283276156
10476,13,0.11284263210691202,0.21318943574671917,0.42618307731970834
10476,14,0.13969780520426867,0.14830461911434048,0.3504935556450818
10476,15,0.08378865785242409,0.1411894535449549,0.29999162180878197
10476,16,0.10703103958159099,0.1490887570890924,0.3409754043859283
10476,17,0.11477454397317946,0.2612528746352795,0.4710649907581014
10476,18,0.11063515123809863,0.17968292721455079,0.37241260824133193
10476,19,0.12670461017163676,0.18446765540068627,0.3257184611731311
10476,20,0.14170353076473838,0.21527205615689374,0.3830998532589336
10476,21,0.15011682615695043,0.1617107640265718,0.33706558457556823
10476,22,0.12534821813470784,0.19269410946821286,0.3276660647117105
10476,23,0.169239612009894,0.23813858026296128,0.3894390191594998
10476,24,0.12636141054205133,0.2502975936000423,0.4431644491657201
10476,25,0.09739985156914101,0.19048850218262847,0.3509921434133203
10476,26,0.0866647044193185,0.17358370909537038,0.3020102542476807
10476,27,0.0994682880544368,0.15999830140336008,0.3860345858083373
10476,28,0.10769242222167037,0.1517496980020633,0.3040554166840234
10476,29,0.09666758508778453,0.1889547505601509,0.35608183050431974
10476,30,0.14796412751640473,0.2205376690688848,0.3727926625832542
10974,1,0.10671337403408444,0.17322688978355646,0.3437248762124465
10974,2,0.13832647699504869,0.35867016910465765,0.6973678995462106
10974,3,0.10777958765809711,0.2775178171173059,0.5305850413352464
10974,4,0.13285211255949686,0.2954507015694499,0.5419097082576538
10974,5,0.14865393155123682,0.18553308692470713,0.3401640621062554
10974,6,0.13821295953011917,0.21118252920896097,0.3795895666963455
10974,7,0.06920005084230256,0.2518041829340571,0.5112336920756919
10974,8,0.12509727842735005,0.23563216750043373,0.4514030922782841
10974,9,0.17468226619948418,0.2331307427953451,0.4727404498934505
10974,10,0.14975947534832926,0.32138359931258803,0.6179672895118375
10974,11,0.10578992524409986,0.16886188647138772,0.36753942204525436
10974,12,0.11695452531095829,0.22860507417609904,0.4354876842876503
10974,13,0.17852322343379098,0.3257770900990323,0.579079773044083
10974,14,0.11071177253863386,0.24500921165763986,0.45656149756735165
10974,15,0.09509009314379889,0.20069848174176202,0.38824921661010103
10974,16,0.08245552558290092,0.23256535981079313,0.45891924831230674
10974,17,0.14432404182942776,0.20487673407215232,0.32397350367470507
10974,18,0.17485924468241498,0.24527762311548662,0.3968740118894789
10974,19,0.18429236863703238,0.20427560380529416,0.3165484836876691
10974,20,0.10402073329695243,0.21790211641998877,0.44839328810407636
10974,21,0.11931957822791171,0.21244140198426179,0.4244162028327711
10974,22,0.14667921634189254,0.2681202783475655,0.44591753593344535
10974,23,0.10365601669455314,0.2525951983283656,0.5355982446693329
10974,24,0.10242888196294114,0.19095458285319497,0.3349733989246654
10974,25,0.06345722770531478,0.14499181734810754,0.33520523117689005
10974,26,0.08937624816028442,0.21533416898628951,0.43601559237625354
10974,27,0.08449737498417419,0.22604080671285304,0.43943228893693886
10974,28,0.12472815806032625,0.2467755664998778,0.4083070153457344
10974,29,0.06909405647802842,0.2812698836147094,0.5629126318322615
10974,30,0.14898793463216095,0.21766398545824445,0.4003876679834602
11497,1,0.09269578129300392,0.1901385260572846,0.3501766341311846
11497,2,0.12229265356179188,0.22066757111595228,0.36242299378409687
11497,3,0.11764542921662123,0.20843441364903192,0.36084663605033157
11497,4,0.08852112186948746,0.2046354960955284,0.36057283402727003
11497,5,0.11644978869390031,0.21345284454069383,0.3788895350862227
11497,6,0.12663974136084363,0.26379021178969714,0.48499016221965824
