sweep_value,run,error_1,error_2,error_3
1,1,0.9759077220895194,0.11213286790727728,0.48213798359792903
1,2,0.9759360676044099,0.11967271358909279,0.48672963912523637
1,3,0.9761637181233545,0.08626248367729063,0.49534946758530946
1,4,0.9749288087395112,0.07468391724795594,0.45025332270897883
1,5,0.9745896832644343,0.07558755617260937,0.45104540917736474
1,6,0.9756510329122734,0.06888397990076627,0.48025021700953807
1,7,0.976018141315413,0.1082912365017822,0.4960774726863755
1,8,0.9752718327062421,0.07354424155445598,0.4487268720208669
1,9,0.9755456530741469,0.08399844123444854,0.4814145193054322
1,10,0.97665440689676,0.16008724287645928,0.5100069070548983
1,11,0.9757838241305149,0.09073075172234193,0.47127333291941503
1,12,0.9755282224641948,0.0730116521866746,0.47678781751157934
1,13,0.9743677640933179,0.06708307854339235,0.42696799035133637
1,14,0.9761373412601744,0.08917832097598863,0.4983010985055006
1,15,0.9749507522533496,0.07180537119468766,0.441495345263575
1,16,0.975918851350937,0.09645823295651659,0.46773226103524507
1,17,0.9744868508631652,0.07309259373666199,0.4502999952449215
1,18,0.9771808282817811,0.1585162316072034,0.503636885337685
1,19,0.9751913610548805,0.08281279878966702,0.4574873231724551
1,20,0.9754755969287464,0.07441392233058058,0.4691065536203787
1,21,0.9750558610963622,0.07542872398824545,0.4381310164207866
1,22,0.9749850361174901,0.07526220400450269,0.4488126128131888
1,23,0.9760101262851789,0.1046497151869526,0.48554631346758914
1,24,0.9753566947828222,0.09201557491542982,0.469463318222118
1,25,0.976151117348673,0.09487391984032982,0.4738160577420971
1,26,0.9752753613039221,0.07338231364297629,0.43942331463643247
1,27,0.9761678755802633,0.12423629382431954,0.4901986689929571
1,28,0.9751910957615071,0.08214040097956013,0.44267702323646824
1,29,0.9765558262004306,0.11209037069448508,0.5084037983023686
1,30,0.9744880255035064,0.07132464004563399,0.4442347302302684
2,1,0.7650523777262725,0.13047981809612638,0.369236983363816
2,2,0.8017968551721724,0.10781420357069632,0.391151472797674
2,3,0.7725132015758719,0.11845701525609814,0.3886300735283867
2,4,0.6864102230529969,0.09509508190013578,0.32881091477937235
